nodes,group_size,rep,mode,payload_bytes,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
128,64,2,baseline,262144,1,96,0,262144,63,0,1365738,1365738,mtu_sweep/bcast_n128_g64_r2_m262144.cm
128,64,2,mcast,262144,1,96,0,262144,63,0,24364,24364,mtu_sweep/bcast_n128_g64_r2_m262144.cm
128,64,2,baseline,1048576,1,96,0,1048576,63,0,5453218,5453218,mtu_sweep/bcast_n128_g64_r2_m1048576.cm
128,64,2,mcast,1048576,1,96,0,1048576,63,0,87217,87217,mtu_sweep/bcast_n128_g64_r2_m1048576.cm
1024,4,0,baseline,4096,1,738,0,4096,3,0,4258,4258,mtu_sweep/bcast_n1024_g4_r0_m4096.cm
1024,4,0,mcast,4096,1,738,0,4096,3,0,3582,3582,mtu_sweep/bcast_n1024_g4_r0_m4096.cm
1024,4,0,baseline,16384,1,738,0,16384,3,0,7299,7299,mtu_sweep/bcast_n1024_g4_r0_m16384.cm
1024,4,0,mcast,16384,1,738,0,16384,3,0,4596,4596,mtu_sweep/bcast_n1024_g4_r0_m16384.cm
1024,4,0,baseline,65536,1,738,0,65536,3,0,19464,19464,mtu_sweep/bcast_n1024_g4_r0_m65536.cm
1024,4,0,mcast,65536,1,738,0,65536,3,0,8651,8651,mtu_sweep/bcast_n1024_g4_r0_m65536.cm
1024,4,0,baseline,262144,1,738,0,262144,3,0,68125,68125,mtu_sweep/bcast_n1024_g4_r0_m262144.cm
1024,4,0,mcast,262144,1,738,0,262144,3,0,24364,24364,mtu_sweep/bcast_n1024_g4_r0_m262144.cm
1024,4,0,baseline,1048576,1,738,0,1048576,3,0,262767,262767,mtu_sweep/bcast_n1024_g4_r0_m1048576.cm
1024,4,0,mcast,1048576,1,738,0,1048576,3,0,87217,87217,mtu_sweep/bcast_n1024_g4_r0_m1048576.cm
1024,4,1,baseline,4096,1,534,0,4096,3,0,4258,4258,mtu_sweep/bcast_n1024_g4_r1_m4096.cm
1024,4,1,mcast,4096,1,534,0,4096,3,0,3582,3582,mtu_sweep/bcast_n1024_g4_r1_m4096.cm
1024,4,1,baseline,16384,1,534,0,16384,3,0,7299,7299,mtu_sweep/bcast_n1024_g4_r1_m16384.cm
1024,4,1,mcast,16384,1,534,0,16384,3,0,4596,4596,mtu_sweep/bcast_n1024_g4_r1_m16384.cm
1024,4,1,baseline,65536,1,534,0,65536,3,0,19464,19464,mtu_sweep/bcast_n1024_g4_r1_m65536.cm
1024,4,1,mcast,65536,1,534,0,65536,3,0,8651,8651,mtu_sweep/bcast_n1024_g4_r1_m65536.cm
1024,4,1,baseline,262144,1,534,0,262144,3,0,68125,68125,mtu_sweep/bcast_n1024_g4_r1_m262144.cm
1024,4,1,mcast,262144,1,534,0,262144,3,0,24364,24364,mtu_sweep/bcast_n1024_g4_r1_m262144.cm
1024,4,1,baseline,1048576,1,534,0,1048576,3,0,262767,262767,mtu_sweep/bcast_n1024_g4_r1_m1048576.cm
1024,4,1,mcast,1048576,1,534,0,1048576,3,0,87217,87217,mtu_sweep/bcast_n1024_g4_r1_m1048576.cm
1024,4,2,baseline,4096,1,507,0,4096,3,0,4258,4258,mtu_sweep/bcast_n1024_g4_r2_m4096.cm
1024,4,2,mcast,4096,1,507,0,4096,3,0,3582,3582,mtu_sweep/bcast_n1024_g4_r2_m4096.cm
1024,4,2,baseline,16384,1,507,0,16384,3,0,7299,7299,mtu_sweep/bcast_n1024_g4_r2_m16384.cm
1024,4,2,mcast,16384,1,507,0,16384,3,0,4596,4596,mtu_sweep/bcast_n1024_g4_r2_m16384.cm
1024,4,2,baseline,65536,1,507,0,65536,3,0,19464,19464,mtu_sweep/bcast_n1024_g4_r2_m65536.cm
1024,4,2,mcast,65536,1,507,0,65536,3,0,8651,8651,mtu_sweep/bcast_n1024_g4_r2_m65536.cm
1024,4,2,baseline,262144,1,507,0,262144,3,0,68125,68125,mtu_sweep/bcast_n1024_g4_r2_m262144.cm
1024,4,2,mcast,262144,1,507,0,262144,3,0,24364,24364,mtu_sweep/bcast_n1024_g4_r2_m262144.cm
1024,4,2,baseline,1048576,1,507,0,1048576,3,0,262767,262767,mtu_sweep/bcast_n1024_g4_r2_m1048576.cm
1024,4,2,mcast,1048576,1,507,0,1048576,3,0,87217,87217,mtu_sweep/bcast_n1024_g4_r2_m1048576.cm
1024,16,0,baseline,4096,1,94,0,4096,15,0,8313,8313,mtu_sweep/bcast_n1024_g16_r0_m4096.cm
1024,16,0,mcast,4096,1,94,0,4096,15,0,3582,3582,mtu_sweep/bcast_n1024_g16_r0_m4096.cm
1024,16,0,baseline,16384,1,94,0,16384,15,0,23520,23520,mtu_sweep/bcast_n1024_g16_r0_m16384.cm
1024,16,0,mcast,16384,1,94,0,16384,15,0,4596,4596,mtu_sweep/bcast_n1024_g16_r0_m16384.cm
1024,16,0,baseline,65536,1,94,0,65536,15,0,84345,84345,mtu_sweep/bcast_n1024_g16_r0_m65536.cm
1024,16,0,mcast,65536,1,94,0,65536,15,0,8651,8651,mtu_sweep/bcast_n1024_g16_r0_m65536.cm
1024,16,0,baseline,262144,1,94,0,262144,15,0,327648,327648,mtu_sweep/bcast_n1024_g16_r0_m262144.cm
1024,16,0,mcast,262144,1,94,0,262144,15,0,24364,24364,mtu_sweep/bcast_n1024_g16_r0_m262144.cm
1024,16,0,baseline,1048576,1,94,0,1048576,15,0,1300857,1300857,mtu_sweep/bcast_n1024_g16_r0_m1048576.cm
1024,16,0,mcast,1048576,1,94,0,1048576,15,0,87217,87217,mtu_sweep/bcast_n1024_g16_r0_m1048576.cm
1024,16,1,baseline,4096,1,541,0,4096,15,0,8313,8313,mtu_sweep/bcast_n1024_g16_r1_m4096.cm
1024,16,1,mcast,4096,1,541,0,4096,15,0,3582,3582,mtu_sweep/bcast_n1024_g16_r1_m4096.cm
1024,16,1,baseline,16384,1,541,0,16384,15,0,23520,23520,mtu_sweep/bcast_n1024_g16_r1_m16384.cm
1024,16,1,mcast,16384,1,541,0,16384,15,0,4596,4596,mtu_sweep/bcast_n1024_g16_r1_m16384.cm
1024,16,1,baseline,65536,1,541,0,65536,15,0,84345,84345,mtu_sweep/bcast_n1024_g16_r1_m65536.cm
1024,16,1,mcast,65536,1,541,0,65536,15,0,8651,8651,mtu_sweep/bcast_n1024_g16_r1_m65536.cm
1024,16,1,baseline,262144,1,541,0,262144,15,0,327648,327648,mtu_sweep/bcast_n1024_g16_r1_m262144.cm
1024,16,1,mcast,262144,1,541,0,262144,15,0,24364,24364,mtu_sweep/bcast_n1024_g16_r1_m262144.cm
1024,16,1,baseline,1048576,1,541,0,1048576,15,0,1300857,1300857,mtu_sweep/bcast_n1024_g16_r1_m1048576.cm
1024,16,1,mcast,1048576,1,541,0,1048576,15,0,87217,87217,mtu_sweep/bcast_n1024_g16_r1_m1048576.cm
1024,16,2,baseline,4096,1,217,0,4096,15,0,8313,8313,mtu_sweep/bcast_n1024_g16_r2_m4096.cm
1024,16,2,mcast,4096,1,217,0,4096,15,0,3582,3582,mtu_sweep/bcast_n1024_g16_r2_m4096.cm
1024,16,2,baseline,16384,1,217,0,16384,15,0,23520,23520,mtu_sweep/bcast_n1024_g16_r2_m16384.cm
1024,16,2,mcast,16384,1,217,0,16384,15,0,4596,4596,mtu_sweep/bcast_n1024_g16_r2_m16384.cm
1024,16,2,baseline,65536,1,217,0,65536,15,0,84345,84345,mtu_sweep/bcast_n1024_g16_r2_m65536.cm
1024,16,2,mcast,65536,1,217,0,65536,15,0,8651,8651,mtu_sweep/bcast_n1024_g16_r2_m65536.cm
1024,16,2,baseline,262144,1,217,0,262144,15,0,327648,327648,mtu_sweep/bcast_n1024_g16_r2_m262144.cm
1024,16,2,mcast,262144,1,217,0,262144,15,0,24364,24364,mtu_sweep/bcast_n1024_g16_r2_m262144.cm
1024,16,2,baseline,1048576,1,217,0,1048576,15,0,1300857,1300857,mtu_sweep/bcast_n1024_g16_r2_m1048576.cm
1024,16,2,mcast,1048576,1,217,0,1048576,15,0,87217,87217,mtu_sweep/bcast_n1024_g16_r2_m1048576.cm
1024,64,0,baseline,4096,1,3,0,4096,63,0,24533,24533,mtu_sweep/bcast_n1024_g64_r0_m4096.cm
1024,64,0,mcast,4096,1,3,0,4096,63,0,3582,3582,mtu_sweep/bcast_n1024_g64_r0_m4096.cm
1024,64,0,baseline,16384,1,3,0,16384,63,0,88400,88400,mtu_sweep/bcast_n1024_g64_r0_m16384.cm
1024,64,0,mcast,16384,1,3,0,16384,63,0,4596,4596,mtu_sweep/bcast_n1024_g64_r0_m16384.cm
1024,64,0,baseline,65536,1,3,0,65536,63,0,343868,343868,mtu_sweep/bcast_n1024_g64_r0_m65536.cm
1024,64,0,mcast,65536,1,3,0,65536,63,0,8651,8651,mtu_sweep/bcast_n1024_g64_r0_m65536.cm
1024,64,0,baseline,262144,1,3,0,262144,63,0,1365738,1365738,mtu_sweep/bcast_n1024_g64_r0_m262144.cm
1024,64,0,mcast,262144,1,3,0,262144,63,0,24364,24364,mtu_sweep/bcast_n1024_g64_r0_m262144.cm
1024,64,0,baseline,1048576,1,3,0,1048576,63,0,5453218,5453218,mtu_sweep/bcast_n1024_g64_r0_m1048576.cm
1024,64,0,mcast,1048576,1,3,0,1048576,63,0,87217,87217,mtu_sweep/bcast_n1024_g64_r0_m1048576.cm
1024,64,1,baseline,4096,1,230,0,4096,63,0,24533,24533,mtu_sweep/bcast_n1024_g64_r1_m4096.cm
1024,64,1,mcast,4096,1,230,0,4096,63,0,3582,3582,mtu_sweep/bcast_n1024_g64_r1_m4096.cm
1024,64,1,baseline,16384,1,230,0,16384,63,0,88400,88400,mtu_sweep/bcast_n1024_g64_r1_m16384.cm
1024,64,1,mcast,16384,1,230,0,16384,63,0,4596,4596,mtu_sweep/bcast_n1024_g64_r1_m16384.cm
1024,64,1,baseline,65536,1,230,0,65536,63,0,343868,343868,mtu_sweep/bcast_n1024_g64_r1_m65536.cm
