nodes,group_size,rep,mode,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
16,4,0,baseline,1,3,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r0.cm
16,4,0,mcast,1,3,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r0.cm
16,4,1,baseline,1,13,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r1.cm
16,4,1,mcast,1,13,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r1.cm
16,4,2,baseline,1,15,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r2.cm
16,4,2,mcast,1,15,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r2.cm
16,4,3,baseline,1,15,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r3.cm
16,4,3,mcast,1,15,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r3.cm
16,4,4,baseline,1,11,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r4.cm
16,4,4,mcast,1,11,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r4.cm
16,4,5,baseline,1,6,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r5.cm
16,4,5,mcast,1,6,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r5.cm
16,4,6,baseline,1,8,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r6.cm
16,4,6,mcast,1,8,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r6.cm
16,4,7,baseline,1,4,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r7.cm
16,4,7,mcast,1,4,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r7.cm
16,4,8,baseline,1,11,0,2048,3,0,3582,3582,bcast_sweep/bcast_n16_g4_r8.cm
16,4,8,mcast,1,11,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r8.cm
16,4,9,baseline,1,1,0,2048,3,0,3751,3751,bcast_sweep/bcast_n16_g4_r9.cm
16,4,9,mcast,1,1,0,2048,3,0,3413,3413,bcast_sweep/bcast_n16_g4_r9.cm
16,8,0,baseline,1,10,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r0.cm
16,8,0,mcast,1,10,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r0.cm
16,8,1,baseline,1,1,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r1.cm
16,8,1,mcast,1,1,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r1.cm
16,8,2,baseline,1,9,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r2.cm
16,8,2,mcast,1,9,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r2.cm
16,8,3,baseline,1,9,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r3.cm
16,8,3,mcast,1,9,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r3.cm
16,8,4,baseline,1,13,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r4.cm
16,8,4,mcast,1,13,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r4.cm
16,8,5,baseline,1,4,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r5.cm
16,8,5,mcast,1,4,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r5.cm
16,8,6,baseline,1,2,0,2048,7,0,4258,4258,bcast_sweep/bcast_n16_g8_r6.cm
16,8,6,mcast,1,2,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r6.cm
16,8,7,baseline,1,0,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r7.cm
16,8,7,mcast,1,0,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r7.cm
16,8,8,baseline,1,14,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r8.cm
16,8,8,mcast,1,14,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r8.cm
16,8,9,baseline,1,10,0,2048,7,0,4427,4427,bcast_sweep/bcast_n16_g8_r9.cm
16,8,9,mcast,1,10,0,2048,7,0,3413,3413,bcast_sweep/bcast_n16_g8_r9.cm
16,16,0,baseline,1,10,0,2048,15,0,5779,5779,bcast_sweep/bcast_n16_g16_r0.cm
16,16,0,mcast,1,10,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r0.cm
16,16,1,baseline,1,12,0,2048,15,0,5610,5610,bcast_sweep/bcast_n16_g16_r1.cm
16,16,1,mcast,1,12,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r1.cm
16,16,2,baseline,1,9,0,2048,15,0,5779,5779,bcast_sweep/bcast_n16_g16_r2.cm
16,16,2,mcast,1,9,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r2.cm
16,16,3,baseline,1,3,0,2048,15,0,5441,5441,bcast_sweep/bcast_n16_g16_r3.cm
16,16,3,mcast,1,3,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r3.cm
16,16,4,baseline,1,0,0,2048,15,0,5610,5610,bcast_sweep/bcast_n16_g16_r4.cm
16,16,4,mcast,1,0,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r4.cm
16,16,5,baseline,1,14,0,2048,15,0,5779,5779,bcast_sweep/bcast_n16_g16_r5.cm
16,16,5,mcast,1,14,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r5.cm
16,16,6,baseline,1,13,0,2048,15,0,5779,5779,bcast_sweep/bcast_n16_g16_r6.cm
16,16,6,mcast,1,13,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r6.cm
16,16,7,baseline,1,6,0,2048,15,0,5779,5779,bcast_sweep/bcast_n16_g16_r7.cm
16,16,7,mcast,1,6,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r7.cm
16,16,8,baseline,1,2,0,2048,15,0,5610,5610,bcast_sweep/bcast_n16_g16_r8.cm
16,16,8,mcast,1,2,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r8.cm
16,16,9,baseline,1,13,0,2048,15,0,5610,5610,bcast_sweep/bcast_n16_g16_r9.cm
16,16,9,mcast,1,13,0,2048,15,0,3413,3413,bcast_sweep/bcast_n16_g16_r9.cm
128,2,0,baseline,1,30,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r0.cm
128,2,0,mcast,1,30,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r0.cm
128,2,1,baseline,1,31,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r1.cm
128,2,1,mcast,1,31,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r1.cm
128,2,2,baseline,1,81,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r2.cm
128,2,2,mcast,1,81,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r2.cm
128,2,3,baseline,1,89,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r3.cm
128,2,3,mcast,1,89,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r3.cm
128,2,4,baseline,1,84,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r4.cm
128,2,4,mcast,1,84,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r4.cm
128,2,5,baseline,1,91,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r5.cm
128,2,5,mcast,1,91,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r5.cm
128,2,6,baseline,1,53,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r6.cm
128,2,6,mcast,1,53,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r6.cm
128,2,7,baseline,1,45,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r7.cm
128,2,7,mcast,1,45,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r7.cm
128,2,8,baseline,1,71,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r8.cm
128,2,8,mcast,1,71,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r8.cm
128,2,9,baseline,1,89,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r9.cm
128,2,9,mcast,1,89,0,2048,1,0,3413,3413,bcast_sweep/bcast_n128_g2_r9.cm
128,4,0,baseline,1,115,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r0.cm
128,4,0,mcast,1,115,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r0.cm
128,4,1,baseline,1,60,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r1.cm
128,4,1,mcast,1,60,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r1.cm
128,4,2,baseline,1,47,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r2.cm
128,4,2,mcast,1,47,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r2.cm
128,4,3,baseline,1,19,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r3.cm
128,4,3,mcast,1,19,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r3.cm
128,4,4,baseline,1,127,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r4.cm
128,4,4,mcast,1,127,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r4.cm
128,4,5,baseline,1,97,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r5.cm
128,4,5,mcast,1,97,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r5.cm
128,4,6,baseline,1,67,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r6.cm
