nodes,group_size,rep,mode,payload_bytes,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path,link_crosses
128,16,0,mcast,,1,104,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r0.cm,69
128,16,1,baseline,,1,57,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r1.cm,153
128,16,1,mcast,,1,57,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r1.cm,77
128,16,2,baseline,,1,108,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r2.cm,161
128,16,2,mcast,,1,108,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r2.cm,73
128,16,3,baseline,,1,109,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r3.cm,161
128,16,3,mcast,,1,109,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r3.cm,79
128,16,4,baseline,,1,102,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r4.cm,149
128,16,4,mcast,,1,102,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r4.cm,63
128,16,5,baseline,,1,16,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r5.cm,149
128,16,5,mcast,,1,16,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r5.cm,69
128,16,6,baseline,,1,81,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r6.cm,157
128,16,6,mcast,,1,81,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r6.cm,73
128,16,7,baseline,,1,96,0,2048,15,0,5610,5610,bcast_sweep/bcast_n128_g16_r7.cm,153
128,16,7,mcast,,1,96,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r7.cm,71
128,16,8,baseline,,1,103,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r8.cm,161
128,16,8,mcast,,1,103,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r8.cm,75
128,16,9,baseline,,1,10,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r9.cm,165
128,16,9,mcast,,1,10,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r9.cm,73
128,32,0,baseline,,1,31,0,2048,31,0,8313,8313,bcast_sweep/bcast_n128_g32_r0.cm,309
128,32,0,mcast,,1,31,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r0.cm,125
128,32,1,baseline,,1,95,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r1.cm,329
128,32,1,mcast,,1,95,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r1.cm,125
128,32,2,baseline,,1,41,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r2.cm,341
128,32,2,mcast,,1,41,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r2.cm,121
128,32,3,baseline,,1,49,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r3.cm,325
128,32,3,mcast,,1,49,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r3.cm,123
128,32,4,baseline,,1,40,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r4.cm,337
128,32,4,mcast,,1,40,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r4.cm,119
128,32,5,baseline,,1,101,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r5.cm,317
128,32,5,mcast,,1,101,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r5.cm,125
128,32,6,baseline,,1,69,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r6.cm,317
128,32,6,mcast,,1,69,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r6.cm,125
128,32,7,baseline,,1,31,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r7.cm,329
128,32,7,mcast,,1,31,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r7.cm,127
128,32,8,baseline,,1,41,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r8.cm,333
128,32,8,mcast,,1,41,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r8.cm,123
128,32,9,baseline,,1,101,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r9.cm,321
128,32,9,mcast,,1,101,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r9.cm,121
128,64,0,baseline,,1,113,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r0.cm,657
128,64,0,mcast,,1,113,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r0.cm,205
128,64,1,baseline,,1,67,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r1.cm,653
128,64,1,mcast,,1,67,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r1.cm,205
128,64,2,baseline,,1,73,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r2.cm,657
128,64,2,mcast,,1,73,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r2.cm,203
128,64,3,baseline,,1,83,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r3.cm,673
128,64,3,mcast,,1,83,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r3.cm,205
128,64,4,baseline,,1,11,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r4.cm,657
128,64,4,mcast,,1,11,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r4.cm,201
128,64,5,baseline,,1,64,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r5.cm,661
128,64,5,mcast,,1,64,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r5.cm,205
128,64,6,baseline,,1,124,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r6.cm,649
128,64,6,mcast,,1,124,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r6.cm,201
128,64,7,baseline,,1,23,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r7.cm,665
128,64,7,mcast,,1,23,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r7.cm,203
128,64,8,baseline,,1,125,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r8.cm,661
128,64,8,mcast,,1,125,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r8.cm,201
128,64,9,baseline,,1,43,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r9.cm,661
128,64,9,mcast,,1,43,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r9.cm,207
128,128,0,baseline,,1,122,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r0.cm,1325
128,128,0,mcast,,1,122,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r0.cm,335
128,128,1,baseline,,1,124,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r1.cm,1325
128,128,1,mcast,,1,124,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r1.cm,335
128,128,2,baseline,,1,89,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r2.cm,1325
128,128,2,mcast,,1,89,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r2.cm,335
128,128,3,baseline,,1,7,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r3.cm,1325
128,128,3,mcast,,1,7,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r3.cm,335
128,128,4,baseline,,1,98,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r4.cm,1325
128,128,4,mcast,,1,98,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r4.cm,335
128,128,5,baseline,,1,92,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r5.cm,1325
128,128,5,mcast,,1,92,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r5.cm,335
128,128,6,baseline,,1,42,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r6.cm,1325
128,128,6,mcast,,1,42,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r6.cm,335
128,128,7,baseline,,1,36,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r7.cm,1325
128,128,7,mcast,,1,36,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r7.cm,335
128,128,8,baseline,,1,115,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r8.cm,1325
128,128,8,mcast,,1,115,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r8.cm,335
128,128,9,baseline,,1,86,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r9.cm,1325
128,128,9,mcast,,1,86,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r9.cm,335
1024,2,0,baseline,,1,349,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r0.cm,7
1024,2,0,mcast,,1,349,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r0.cm,7
1024,2,1,baseline,,1,609,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r1.cm,11
1024,2,1,mcast,,1,609,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r1.cm,11
1024,2,2,baseline,,1,602,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r2.cm,11
1024,2,2,mcast,,1,602,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r2.cm,11
1024,2,3,baseline,,1,226,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r3.cm,11
1024,2,3,mcast,,1,226,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r3.cm,11
1024,2,4,baseline,,1,741,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r4.cm,11
1024,2,4,mcast,,1,741,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r4.cm,11
1024,2,5,baseline,,1,219,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r5.cm,11
1024,2,5,mcast,,1,219,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r5.cm,11
1024,2,6,baseline,,1,627,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r6.cm,11
1024,2,6,mcast,,1,627,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r6.cm,11
1024,2,7,baseline,,1,332,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r7.cm,11
1024,2,7,mcast,,1,332,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r7.cm,11
1024,2,8,baseline,,1,103,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r8.cm,7
1024,2,8,mcast,,1,103,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r8.cm,7
1024,2,9,baseline,,1,420,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r9.cm,11
1024,2,9,mcast,,1,420,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r9.cm,11
1024,4,0,baseline,,1,677,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r0.cm,33
1024,4,0,mcast,,1,677,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r0.cm,23
1024,4,1,baseline,,1,12,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r1.cm,33
1024,4,1,mcast,,1,12,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r1.cm,23
1024,4,2,baseline,,1,66,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r2.cm,33
