mode,arm,mcast_pin,n_groups,group_size,pods_spanned,hosts_per_pod,collective,baseline_algo,msg_bytes,makespan_ns,drop_log_hits,status,pfc_high,pfc_low,intranode_q,pauses_sent,resumes_sent,peak_ingress_bytes,peak_ingress_frac,peak_ingress_queue,peak_egress_bytes,peak_egress_frac,peak_egress_queue,nic_honor,nic_pauses_seen,nic_grants_declined,nic_redrives_held,su_topo,so_topo,nodes,gpus_per_node,intranode_linkspeed_mbps,engine,log_file,trace_file,command
overdrive,inc,,,64,,,allgather,ring,67108864,134693,0,ok,218,174,17152,64,64,965120,0.8657,VQ-SRC8->LS0(0),894400,0.0125,LS0->DST29(0),1,4096,0,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,8000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/overdrive_xbar_allgather_ring_inc_67108864.log.gz,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/overdrive_xbar_allgather_ring_inc_67108864.csv,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_allgather_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 8000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 218 -lossless_low_pfc 174 -intranode_q 17152 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_allgather_67108864.groups -pfc_trace /workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/overdrive_xbar_allgather_ring_inc_67108864.csv
overdrive,pinned,0,16,8,8,16,allreduce,,1048576,36020,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),12783680,0.4375,US0->CS0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,8000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/overdrive_pinned_16_1048576.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_od_16.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 8000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_od_16.groups -mcast_pin 0
