axis,x,variant,rep,duration_ns
M,32768,Reduce,6,5948
M,32768,Reduce,7,5948
M,32768,Allreduce (apex),0,5948
M,32768,Allreduce (apex),1,5948
M,32768,Allreduce (apex),2,5948
M,32768,Allreduce (apex),3,5948
M,32768,Allreduce (apex),4,5948
M,32768,Allreduce (apex),5,5948
M,32768,Allreduce (apex),6,5948
M,32768,Allreduce (apex),7,5948
M,32768,Allreduce (reduce+bcast),0,11896
M,32768,Allreduce (reduce+bcast),1,11896
M,32768,Allreduce (reduce+bcast),2,11896
M,32768,Allreduce (reduce+bcast),3,11896
M,32768,Allreduce (reduce+bcast),4,11896
M,32768,Allreduce (reduce+bcast),5,11896
M,32768,Allreduce (reduce+bcast),6,11896
M,32768,Allreduce (reduce+bcast),7,11896
M,131072,Reduce,0,13889
M,131072,Reduce,1,13889
M,131072,Reduce,2,13889
M,131072,Reduce,3,13889
M,131072,Reduce,4,13889
M,131072,Reduce,5,13889
M,131072,Reduce,6,13889
M,131072,Reduce,7,13889
M,131072,Allreduce (apex),0,13889
M,131072,Allreduce (apex),1,13889
M,131072,Allreduce (apex),2,13889
M,131072,Allreduce (apex),3,13889
M,131072,Allreduce (apex),4,13889
M,131072,Allreduce (apex),5,13889
M,131072,Allreduce (apex),6,13889
M,131072,Allreduce (apex),7,13889
M,131072,Allreduce (reduce+bcast),0,27778
M,131072,Allreduce (reduce+bcast),1,27778
M,131072,Allreduce (reduce+bcast),2,27778
M,131072,Allreduce (reduce+bcast),3,27778
M,131072,Allreduce (reduce+bcast),4,27778
M,131072,Allreduce (reduce+bcast),5,27778
M,131072,Allreduce (reduce+bcast),6,27778
M,131072,Allreduce (reduce+bcast),7,27778
M,524288,Reduce,0,45315
M,524288,Reduce,1,45315
M,524288,Reduce,2,45315
M,524288,Reduce,3,45315
M,524288,Reduce,4,45315
M,524288,Reduce,5,45315
M,524288,Reduce,6,45315
M,524288,Reduce,7,45315
M,524288,Allreduce (apex),0,45315
M,524288,Allreduce (apex),1,45315
M,524288,Allreduce (apex),2,45315
M,524288,Allreduce (apex),3,45315
M,524288,Allreduce (apex),4,45315
M,524288,Allreduce (apex),5,45315
M,524288,Allreduce (apex),6,45315
M,524288,Allreduce (apex),7,45315
M,524288,Allreduce (reduce+bcast),0,90631
M,524288,Allreduce (reduce+bcast),1,90631
M,524288,Allreduce (reduce+bcast),2,90631
M,524288,Allreduce (reduce+bcast),3,90631
M,524288,Allreduce (reduce+bcast),4,90631
M,524288,Allreduce (reduce+bcast),5,90631
M,524288,Allreduce (reduce+bcast),6,90631
M,524288,Allreduce (reduce+bcast),7,90631
